meanChoice,semChoice,smoothMeanChoice,nullMeanEst,nullSEMEst,wslsMeanEst,wslsSEMEst,rwMeanEst,rwSEMEst,rwckMeanEst,rwckSEMEst,ckMeanEst,ckSEMEst
0.458333333333333,0.0719333732672656,0.458333333333333,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0
0.382978723404255,0.0701955153275794,0.403625758042964,0.5,0,0.5,0,0.498408780737385,0.020136224218442,0.492849058643007,0.0267106814729581,0.518403972466059,0.0244183292599529
0.369565217391304,0.0697172498210215,0.497755133505761,0.5,0,0.49616290484794,0,0.537242574446288,0.0196743120705461,0.521174425098403,0.0275196504665559,0.519794025895822,0.0131185995175469
0.808510638297872,0.0568181603648062,0.525237403009307,0.5,0,0.49554902865862,0.00170067663895285,0.557235151121835,0.0243819733114386,0.530114306976895,0.0353687723584382,0.517182590145175,0.0284934177540329
0.469387755102041,0.0720333965460795,0.59558043383866,0.5,0,0.534112086060186,0.0342885475613979,0.596462210976216,0.0380019540903029,0.554621874527347,0.0486697147120527,0.514449256233738,0.0343759038372243
0.595744680851064,0.0708646964772946,0.693095961788971,0.5,0,0.576232043628493,0.0350724078612238,0.673186028145907,0.0352238293703188,0.637450550106038,0.0469800505587245,0.543154820245639,0.0372300283220855
0.73469387755102,0.0637244693714122,0.645679548415111,0.5,0,0.589522967056551,0.0210523804122684,0.672287064447221,0.0257237384489317,0.62866348532111,0.0359206684859931,0.551744322662082,0.0326498724090563
0.857142857142857,0.0505076272276105,0.727312201476335,0.5,0,0.62568144619605,0.0175702638512392,0.727986176226757,0.0241470733150532,0.690005241766846,0.0342544263322099,0.572898550202537,0.0339812012443477
0.571428571428571,0.0714285714285714,0.745663265306122,0.5,0,0.671238524586118,0.0345574912814898,0.763107406054501,0.0397202817385612,0.729255458559619,0.051272488060906,0.596306875618011,0.0399407590677726
0.877551020408163,0.0473143800790597,0.773192574902301,0.5,0,0.668222177618662,0.0269437189214018,0.762016639017491,0.028088663818553,0.730120923539457,0.0380262270286925,0.603844355263031,0.0334514369942019
0.6875,0.0669167764598381,0.760097336807063,0.5,0,0.666560692806511,0.0151508779896774,0.76593898421639,0.0317689683090631,0.73089276969116,0.0424578263382603,0.607865259288574,0.0379560823069123
0.872340425531915,0.0481883070254627,0.816644955854682,0.5,0,0.681871327967835,0.0249693257732783,0.797193524602149,0.0263704496440422,0.775887164745404,0.0361518687723408,0.64173783346168,0.0358793654582853
0.791666666666667,0.0586305827265797,0.80363475177305,0.5,0,0.682208169740795,0.0205957739150743,0.791582866824176,0.0263959850931232,0.766610130690653,0.0396630348561021,0.644700852055572,0.0396246580737541
0.854166666666667,0.0509534225196309,0.818308664816528,0.5,0,0.638790539933172,0.0294207769085585,0.801128305767572,0.0259289115694662,0.773818043590695,0.0341159729879528,0.648253365246242,0.0341812674000019
0.8125,0.0563489685150833,0.798942620526471,0.5,0,0.584899488242883,0.0267290988141355,0.805668048086,0.0303268874137749,0.776768763082179,0.0396892181215155,0.652524909303729,0.0370620454594491
0.760869565217391,0.061609424498412,0.798056095703776,0.5,0,0.575089441021437,0.0357821703472483,0.806833311466024,0.0281747197211401,0.781556111962635,0.0407808004818119,0.675356893535503,0.0408458200847965
0.775510204081633,0.0602242558150536,0.777222762370443,0.5,0,0.581728666953773,0.0332612046232618,0.815631797196212,0.0300340936491236,0.782137180339245,0.0407482681453451,0.663257981092784,0.0381605875921863
0.787234042553192,0.0590982984902429,0.774722762370443,0.5,0,0.567276500500628,0.0274826809832965,0.803787120754273,0.0289671956272167,0.780406075697944,0.0407337699250506,0.682753966320735,0.035806098163673
0.75,0.062513567784812,0.776715515993631,0.5,0,0.600251135988312,0.0254395769965659,0.804386625907836,0.0269038737928015,0.784452568032154,0.0404945556951286,0.708009779606414,0.042172312964082
0.8,0.0577885596397065,0.800780141843972,0.5,0,0.650167017618071,0.0328091002563389,0.80412769949,0.0318134342418185,0.792161996176909,0.0394904925900259,0.730355057221646,0.0322750715249769
0.770833333333333,0.060677770770542,0.801666666666667,0.5,0,0.600386738573447,0.0257224909657323,0.801515202260849,0.0297678344150709,0.792710373490076,0.0397453853140816,0.733154908995853,0.0385927929232611
0.895833333333333,0.0441013254555119,0.818333333333333,0.5,0,0.568219303242016,0.0272386086505206,0.798752773914419,0.0326862825822927,0.789968874407097,0.0385690534278593,0.737887611324163,0.0325521632897766
0.791666666666667,0.0586305827265797,0.790248226950355,0.5,0,0.539020844027705,0.0330293263373945,0.810292883102499,0.0307509461355252,0.789477903589393,0.0391803283616694,0.729031615010564,0.0328717163988473
0.833333333333333,0.0538031126539078,0.791183601100015,0.5,0,0.545710987388266,0.0357447202208967,0.815062757440824,0.0279310873288415,0.797897337984111,0.0407232685160135,0.735919247805438,0.0411135203300152
0.659574468085106,0.0684250232140725,0.787016934433348,0.5,0,0.558490769749786,0.0349639320317961,0.832217352496236,0.028587321500112,0.813446368821361,0.0399750673329808,0.741927555395459,0.0388286979506382
0.775510204081633,0.0602242558150536,0.791948907222463,0.5,0,0.61555689224687,0.019947596295217,0.834905887209434,0.0266754592935807,0.816017558684985,0.0331945879611491,0.745519517514034,0.0370456406713961
0.875,0.0477455260559423,0.804005644811116,0.5,0,0.645151765642457,0.0153814449828962,0.844655133398722,0.0268577919509684,0.837997440782581,0.0314316712987599,0.773653143580823,0.0301256517744108
0.816326530612245,0.0558900568882823,0.82311115935736,0.5,0,0.667513607962405,0.0230671228414895,0.847898292998093,0.0279047397097535,0.843029155584968,0.0357635463434025,0.776030723813434,0.033365764525608
0.893617021276596,0.0445229326191294,0.851682587928788,0.5,0,0.657588963921316,0.026680422592273,0.855514502102183,0.0259072744822925,0.853014916662334,0.0242588923382565,0.775451004200596,0.0286702947269878
0.755102040816326,0.0620690054112063,0.859661311333044,0.5,0,0.650195282417461,0.0347873861583345,0.85472796370926,0.0343663535948815,0.84834045673789,0.0423882543049264,0.773181854931827,0.0392046821034948
0.918367346938776,0.0395202382266063,0.888062671877261,0.5,0,0.652789970970491,0.0277927716240654,0.868168174801604,0.0210278413555781,0.868800676134092,0.0269467029033453,0.790386658427382,0.0327144313571421
0.914893617021277,0.0402938104067099,0.888505934288609,0.5,0,0.660787259382306,0.0238583865811057,0.870554005260062,0.0278161256501578,0.865331214716655,0.0356282892135108,0.785841726770402,0.0375083677607782
