Subjects,winModel,BIC_1,BIC_2,BIC_3,BIC_4,BIC_5
11,3,64.301145915354,98.1661530846227,60.5212910727026,69.5051765813694,68.873282189486
12,5,107.604997635941,125.708179848488,117.075936201634,105.370365585917,99.5864846605894
13,3,95.7921916523027,94.1749468120146,72.0110104006717,78.8838477224371,97.0439917663349
14,3,87.7769318633189,101.063606734509,48.4958809021031,56.899071978376,96.435413783194
15,1,15.6825915494323,106.449411734466,15.9318577692683,25.060554152023,17.7578114232359
16,3,91.0721002938403,101.063606734747,68.9996836834917,71.8872831191156,81.2769858707817
17,3,49.4523466631705,113.579192245907,34.3354654585431,43.2255464112783,46.2126257374145
18,3,76.9042191527841,98.1661530846575,38.5449572909787,45.3455823794719,86.7686664226529
19,3,100.084484779525,111.32342197849,93.5856647084411,99.6256858679325,114.581634965411
20,5,133.447222181925,133.457975077303,128.220504715184,122.962437215758,117.329675962526
21,3,106.836924763011,107.877572867439,69.1612225418754,78.24781210285,103.342018290503
22,3,49.4523466631594,108.948138888807,23.1261904983936,27.7292337756087,34.5293950146228
23,3,87.7769318639716,119.663177888383,72.8713926717154,82.0000890520227,91.8161416603809
24,4,64.3011459156739,123.17813657313,34.1094702954594,31.0108413268246,47.1478153132124
25,3,37.7237012206786,112.989702685488,22.2896435788494,31.1898867052799,28.1908156299278
26,1,23.9543918472496,108.416208251076,34.2546887054679,34.2864124276714,26.2101151694171
27,3,80.7029767650878,121.473087962337,58.8318038121352,62.3755570709869,77.380131219205
28,1,4.54329478227,105.435588057143,11.8591834262217,20.9457695122682,11.8591782871211
29,3,99.1708156105485,114.473203082026,89.2000246940723,96.6261283876628,95.7450142894625
30,1,4.56434819146784,98.1661530846777,11.9012865548776,21.0299828796701,11.9012851051874
31,3,68.0168624656006,96.8858759142409,18.4936957495098,27.5588947358417,65.0288884983748
32,3,54.5364648608498,94.7294283800452,22.6715074476872,30.3442649176296,38.1785132488093
33,1,4.54329478227,105.435588057136,11.8591799502057,20.9457678515115,11.8591782867821
34,4,117.278712086419,107.877572867395,81.5636500249453,69.3135090256869,117.264812161703
35,1,72.1404526667894,111.787890869739,77.5504593961235,86.5881578525189,84.3496190730699
36,1,43.8483916429774,123.178136573234,44.3222907766417,51.6210224033481,45.2088166892511
37,4,137.481891933493,135.509872578351,120.55404000217,60.8258558305033,63.3803662227052
38,3,72.4014769533987,102.864989138358,59.3032074732064,68.3897970271387,81.4537824575053
39,3,58.4925291115756,111.88147446813,46.1458851796268,54.9348960630925,51.8364212131154
40,4,134.812408324877,124.661022519882,116.474798597373,78.8106046038689,120.242955971146
41,3,83.9961180096021,110.762918940297,81.1065873037827,88.1545443047371,94.2427448314138
42,4,133.451263590707,106.44941173505,100.753619493806,91.5644017813349,125.692118009226
43,1,37.8197478877622,108.948138888845,42.3529239534634,48.5606847181009,51.6757238312496
44,1,4.54329478227,107.877572867395,11.8591798698967,20.9457678513229,11.8591782881935
45,1,24.0071931643752,108.948138889727,24.1144872403618,29.1567731503424,29.6466368237236
46,3,127.710351692016,129.370409417722,123.731607003245,132.23923831778,134.124407858909
47,1,59.2639142266107,128.376869296281,66.0424041885581,69.7286097459944,67.4659611187546
48,1,4.56434819146784,106.449411732523,11.9012869582859,21.0299815137683,11.9012851216684
49,3,43.8483916432492,103.822864196994,25.8402464106309,34.9508813896523,30.5284844812048
50,1,22.8940346347253,91.4360276142897,31.307898332164,39.8929237881351,34.1705194117237
51,3,104.91891011726,112.98970268546,88.5739973228253,97.267413169715,113.047890158961
52,3,123.7405316457,112.392667955142,95.524231626116,104.61082119206,131.250478621234
53,3,133.451263590715,134.104047901734,128.329381537303,137.422450621243,130.806721032647
54,5,72.6595680885075,112.989702685483,71.7317876165838,70.5836113806026,66.0036376317752
55,3,113.432224971217,123.224443317887,77.1761800916094,80.0087340900043,85.3145092437974
57,3,117.278712086486,118.296158239061,91.532260842769,98.9404275902521,119.375178436233
58,4,134.969455261864,121.473087962305,113.147881141823,111.069308111604,138.517466361683
59,3,117.984707443733,107.319328978481,83.6646878769963,84.9513891540012,124.073922485272
60,1,4.55387689160054,97.7445970330824,11.8803441620579,20.9880963618945,11.8803425058803
