Subjects,NegLL_1,NegLL_2,NegLL_3,NegLL_4,NegLL_5
11,66.5421293337547,46.8009024465803,25.6962973448829,25.6238919212786,29.8722929032686
12,60.9969518892752,60.6154215170098,54.0606312863381,43.7305091641947,45.3159055042876
13,60.3038047087152,44.8545193466801,31.5395970816814,30.5101076239063,44.0560877216699
14,66.5421293337547,48.2496292715199,19.6835922595838,19.3208396062445,43.653358696439
15,66.5421293337547,50.9425317715282,3.40158069303384,3.40158069304667,4.31455752016067
16,66.5421293337547,48.2496292716389,29.9354936502758,26.8149451766218,36.0741463733601
17,66.5421293337547,54.5074220272187,12.603384537802,12.4840767393556,18.5419646772387
18,66.5421293337547,46.8009024465998,14.7081304540024,13.5440948086194,38.8199850198616
19,66.5421293337547,53.3795368935198,42.2284841627551,40.6841465509998,52.7264692912288
20,64.4626877920749,64.4626877920749,59.5776055221958,52.4160201960887,54.132238494384
21,65.1558349726349,51.6671390425884,30.0373164886829,30.0373164868896,47.1277143987175
22,66.5421293337547,52.1918953486645,6.99874705772934,4.73592050587407,12.7003493158137
23,66.5421293337547,57.5494148484571,31.8713481443921,31.8713481430745,41.343722635789
24,66.5421293337547,59.3068941908314,12.4903869568387,6.37672428139618,19.0095594643982
25,65.8489821531948,54.2179128969429,6.59094489671971,6.48718957134705,9.54153092319115
26,65.8489821531948,51.9311656797419,12.5734674611342,8.03545243035972,8.55118069311837
27,66.5421293337547,58.4543698854401,24.8515537145704,22.0590821876465,34.1257174182216
28,65.1558349726349,50.4461466374372,1.38629693244204,1.38629519302795,1.38629436129052
29,65.1558349726349,54.9649541498782,40.0567175647656,39.2264746292877,43.3292123623126
30,66.5421293337547,46.800902446603,1.38629508581001,1.3862951221889,1.38629436112583
31,64.4626877920749,46.1766382105661,4.71424838159366,4.71424838161259,27.9818447560345
32,65.8489821531948,45.087775744225,6.78187683224419,6.06437870124071,14.5353797328056
33,65.1558349726349,50.4461466374348,1.38629519170214,1.38629436121573,1.38629436112102
34,65.1558349726349,51.6671390425615,36.2385299275327,25.5701649483046,54.0891251123875
35,64.4626877920749,53.6276456882942,34.2426302049277,34.2288799055953,37.642210043381
36,66.5421293337547,59.3068941908846,17.5967971968607,16.6818148187097,18.0400601531596
37,66.5421293337547,65.4727621934434,55.7126715715551,21.2842301875959,27.1258349399923
38,65.1558349726349,49.1608471780632,25.1083089543365,25.1083089490288,36.1835964464836
39,62.3832462503951,53.6908323989014,18.5731329265011,18.4678286449136,21.418400936204
40,65.1558349726349,60.0588638687986,53.6941045250738,30.3187127362691,55.5781832033027
41,65.8489821531948,53.1045210243497,35.9994167602911,34.9695183657371,42.567495524109
42,66.5421293337547,50.9425317717868,45.8124615554325,36.6535045077277,58.2817108131414
43,66.5421293337547,52.1918953486946,16.6121137852651,15.151645976635,21.2735137241558
44,65.1558349726349,51.6671390425651,1.38629515267381,1.38629436112145,1.38629436182675
45,66.5421293337547,52.191895349148,7.49289542871319,5.44969019338926,10.2589702203956
46,64.4626877920749,62.4189049622804,57.3332040084668,57.0544201098495,62.5296044393753
47,65.1558349726349,61.9167872570077,28.4779073120118,25.777715305102,29.1896857771119
48,66.5421293337547,50.9425317705254,1.38629528776996,1.3862943739485,1.38629436936635
49,66.5421293337547,49.6292580027657,8.35577501375258,8.34674433938435,10.6998940491347
50,53.3723329031158,43.5461110962178,11.3101437442284,11.2588508641436,12.7414542840091
51,65.8489821531948,54.2179128969286,39.733121769809,39.5259527847693,51.9700683481749
52,65.1558349726349,53.9246865864295,43.2188210307912,43.218821031477,61.0819443427351
53,66.5421293337547,64.7698498551305,59.6003425920904,59.5825290599919,60.8390123246459
54,65.8489821531948,54.2179128969452,31.3120169166851,26.1840519070852,28.4479419242859
55,65.1558349726349,59.3405742678078,34.0447952635121,30.9177808681648,38.1139598366121
57,65.1558349726349,56.8764317283926,41.2228356388925,40.383624229669,55.1442944491009
58,66.5421293337547,58.4543698854182,52.009592379526,46.4059576728741,64.6943849897166
59,59.6106575281553,51.4324908411155,37.3779966422477,33.5669999845171,57.5826139463811
60,65.8489821531948,46.595360070747,1.38629519240509,1.38629439774612,1.38629436133958
