Subjects,alpha_rw,beta_rw,alpha_rwck_rw,beta_rwck_rw,alpha_rwck_ck,beta_rwck_ck,alpha_ck,beta_ck,epsilon,b
11,0.144324615647085,9.17628295832116,0.248384237529582,5.77153378287358,0.000180341913274865,250,0.0411877026010496,5.95615694698492,0.369565535917279,0.5
12,0.08496597692001,5.63403006406933,0.0887767973022075,3.62914474742599,0.106818263602656,4.64771597275949,0.0653370830176822,5.8019550395922,0.904762783723988,0.5
13,0.626387688419804,3.63901913319425,0.66320180768804,3.42755264001774,0.835468119220288,1.52430112638886,0.000519545620317828,250,0.409637961027508,0.5
14,0.220814710463724,11.9275918415605,0.240467953927694,10.8209012554445,0.468930518623291,1.2635736993299,0.0513213918491568,4.25162326158516,0.391304677546897,0.5
15,0.00651905864004477,400,0.00651907109210892,400,0,176.295228985413,0.00555854675579555,250,0.434778738335391,0.5
16,0.121019294285701,11.4512430806377,0.152854352810069,11.5000010155202,1,2.19377785980982,0.000810253196193941,250,0.391303029941722,0.5
17,0.0950510191622138,23.6174786994108,0.130307898506315,16.5892419782791,0.0204614841811543,3.25924759781875,0.110504501156133,6.88353251575309,0.500000889896577,0.5
18,0.81494004651153,11.5616566927702,0.995984957048747,400,0.279964716428698,1.96827175135639,0.123760428845725,3.84842519956474,0.36956581517398,0.5
19,0.297139181314129,4.47270405739432,0.617763608560474,2.58365424919361,0.259105551372427,1.51155166949369,0.0662037265963348,2.67314696239011,0.478262167101373,0.5
20,0.000364671942913204,400,0.0252617370020423,5.37145366952657,0.0190391060231901,10.4347189172637,0.000706324621635676,250,1,0.5
21,0.172869556631316,12.4181798258956,0.172875925062089,12.4182870795887,0,0.210227806420807,0.000497549595117948,250,0.466666004517282,0.5
22,0.00919313349121497,400,0.0309347778456278,400,1,5.5660189382391,0.00268072038079118,250,0.456522504640663,0.5
23,0.2027513178691,6.63547420615792,0.202745302628075,6.63557349017413,0.751913447360021,0,0.0118725002608515,12.6253099603684,0.565217011208539,0.5
24,0.00406597616761415,400,0.0116324467803516,400,0.00937433269353996,250,0.00172661789961194,250,0.608695944716679,0.5
25,0.00463387420007416,400,1,3.08600506305967,0.0016220825818194,250,0.00346305889823181,250,0.505495013150494,0.5
26,0.0601417432794599,22.1232287638404,1,1.22700212148002,0.590008504351908,7.62774825954485,0.484380909072223,7.66402727589482,0.461537117591078,0.5
