subId,AUCg
11,84.8142379187741
12,58.0019370109186
13,74.9854890432707
14,82.7317943336359
15,93.5975184177466
16,79.745540900056
17,89.4765777750709
18,81.2652970879909
19,72.2874167240724
20,57.643447629646
21,75.5789957827834
22,90.5928862509987
23,81.2775237067021
24,88.5491769206988
25,90.5977097077542
26,89.8594449132958
27,79.2544997244042
28,94.249997428681
29,76.5612532081452
30,94.2499992753101
31,87.1362893599891
32,90.3417477346141
33,94.2499991694179
34,76.8546625171274
35,82.1947985297884
36,87.7855492668919
37,64.1843730100115
38,82.9107152735034
39,84.8533379866357
40,64.2328906254848
41,77.6397500970761
42,70.1554265276854
43,88.4809587435219
44,94.2499992084464
45,90.9235803502934
46,60.2384165248353
47,81.6830893654059
48,94.2499990733504
49,91.2912421790299
50,90.9053071129704
51,73.1526000094296
52,62.4467549905991
53,60.3522321306517
54,75.7302931507392
55,76.2047960849621
57,68.3093360999937
58,64.0792226920566
59,63.4808265972827
60,93.9999990439422
