meanChoice,smoothMeanChoice,nullMeanEst,nullSEMEst,wslsMeanEst,wslsSEMEst,rwMeanEst,rwSEMEst,rwckMeanEst,rwckSEMEst,ckMeanEst,ckSEMEst
0.458333333333333,0.458333333333333,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0
0.382978723404255,0.420656028368794,0.5,0,0.5,0,0.546972289555455,0.0277179808409721,0.556107449929842,0.0267030535148245,0.552498762888206,0.0244181681993538
0.369565217391304,0.403625758042964,0.5,0,0.5,0,0.507826297120162,0.0221673416670532,0.492027775887403,0.0273921605586146,0.520116786139733,0.0125978157346654
0.808510638297872,0.504846978106691,0.5,0,0.499574830962185,0.00170067615126174,0.548152816108939,0.0297128876352342,0.524402858035414,0.0359956523527036,0.517524865426806,0.0281308600681191
0.469387755102041,0.497755133505761,0.5,0,0.496162906172867,0.0342885478011738,0.549254459942389,0.041480328174946,0.520819326126511,0.0493141990015632,0.522840709938825,0.0337124358896671
0.595744680851064,0.514086724729978,0.5,0,0.496290858559712,0.0350724081551882,0.559276891024377,0.0380531311259591,0.525040782010443,0.0465465654584865,0.51899855634886,0.0360399854616524
0.73469387755102,0.560146815432926,0.5,0,0.528426740012418,0.0210523801639656,0.605107668033835,0.0266369301648241,0.565525313572834,0.0357332453945247,0.534844411524786,0.0318959073666986
0.857142857142857,0.639174171056026,0.5,0,0.563526705499014,0.0175702631998956,0.642115421296237,0.0249745720932002,0.594633431076923,0.0339959350894702,0.532992054122983,0.0334734893958587
0.571428571428571,0.672818063395571,0.5,0,0.574319028904571,0.0345574914967427,0.677899457674764,0.0403553080240539,0.629218257410373,0.0522320804683087,0.549837647681356,0.0387577443242583
0.877551020408163,0.684324793747286,0.5,0,0.601820408198909,0.0269437188103837,0.703294189677675,0.0289431404169842,0.661429757734062,0.0380142392542559,0.571941829695422,0.0329394658950243
0.6875,0.720676834563613,0.5,0,0.64218720955329,0.0151508771959169,0.741563621408989,0.0322304180413898,0.700942047662878,0.0422392919056722,0.582190691923069,0.0371349910194933
0.872340425531915,0.766776125343754,0.5,0,0.67232103209594,0.024969325536729,0.768192072547961,0.0278953055674222,0.732768005984581,0.0378237465378458,0.604493525238922,0.0343406048986425
0.791666666666667,0.776271590196362,0.5,0,0.673900544607584,0.0205957742840438,0.777327972086971,0.0270903676118291,0.739388579162319,0.0395557887020511,0.607160386146554,0.0390264103321623
0.854166666666667,0.77577555845033,0.5,0,0.662351765199258,0.0294207771420984,0.776059633442806,0.0270224467364963,0.741757271768271,0.0343250849449225,0.625719035844082,0.0345527454365513
0.8125,0.815954129878902,0.5,0,0.6790580761643,0.0267290989883528,0.801289312622667,0.0307939508210652,0.775683964254812,0.0387062982386849,0.64260133925686,0.0358990821605672
0.760869565217391,0.79650722068044,0.5,0,0.653111452322511,0.0357821705765595,0.801906461194454,0.0285687629628501,0.769229310941835,0.04082223818281,0.639271230452271,0.0403469249606712
0.775510204081633,0.811175588027379,0.5,0,0.600371831946821,0.0332612047963835,0.803465923258774,0.0307201453153437,0.771989816785932,0.0409597153278615,0.646389493353142,0.0378019194977113
0.787234042553192,0.796991190864258,0.5,0,0.596289928308773,0.0274826805285316,0.814236305451105,0.0292093165525739,0.783638833028028,0.0408617696842793,0.660914101644331,0.0356983448717785
0.75,0.790046746419814,0.5,0,0.59165840927325,0.0254395767704246,0.81646940970043,0.0273999593944023,0.787275579799323,0.0404682420133874,0.668678083986496,0.0415925695750593
0.8,0.781018968642036,0.5,0,0.583562385543995,0.0328091005125376,0.806646658472958,0.0332782854355386,0.780842500309793,0.0398283646283061,0.675059922145402,0.0335605296240223
0.770833333333333,0.774074524197591,0.5,0,0.584813924415529,0.0257224912445426,0.811847016759653,0.0301916997103166,0.784339665538604,0.0396858742152749,0.688667608203457,0.0382336554112319
